Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",0,0,0,29,0,29,29
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",0,0,0,31,0,31,31
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,29,0,29,29
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,31,0,31,31
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,29,0,29,29
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,31,0,31,31
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,90,0,90,90
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",0,0,0,90,0,90,90
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",0,0,0,60,0,60,60
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",0,0,0,60,0,60,60
"Birla Institute of Technology, Deoghar Off-Campus","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,56,4,60,60
"Birla Institute of Technology, Deoghar Off-Campus","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,48,5,53,53
"Birla Institute of Technology, Deoghar Off-Campus","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,38,3,41,41
"Birla Institute of Technology, Deoghar Off-Campus","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,33,3,36,36
"Birla Institute of Technology, Deoghar Off-Campus","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,38,3,41,41
"Birla Institute of Technology, Deoghar Off-Campus","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,33,3,36,36
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,19,1,20,20
"Birla Institute of Technology, Deoghar Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,16,2,18,18
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",0,0,0,10,0,10,10
"Birla Institute of Technology, Mesra, Ranchi","Architecture (5 Years, Bachelor of Architecture)",0,0,0,8,0,8,8
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Mesra, Ranchi","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",0,0,0,32,3,35,35
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",0,0,0,18,1,19,19
"Birla Institute of Technology, Mesra, Ranchi","Bio Technology (4 Years, Bachelor of Technology)",0,0,0,16,2,18,18
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",0,0,0,75,6,81,81
"Birla Institute of Technology, Mesra, Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)",0,0,0,64,6,70,70
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Mesra, Ranchi","Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,32,3,35,35
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,107,9,116,116
"Birla Institute of Technology, Mesra, Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,92,9,101,101
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,55,4,59,59
"Birla Institute of Technology, Mesra, Ranchi","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,47,5,52,52
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,107,9,116,116
"Birla Institute of Technology, Mesra, Ranchi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,92,9,101,101
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology)",0,0,0,19,1,20,20
"Birla Institute of Technology, Mesra, Ranchi","Food Engineering and Technology (4 Years, Bachelor of Technology)",0,0,0,16,2,18,18
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science)",0,0,0,38,3,41,41
"Birla Institute of Technology, Mesra, Ranchi","Mathematics and Computing (5 Years, Integrated Master of Science)",0,0,0,33,3,36,36
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,72,6,78,78
"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,61,6,67,67
"Birla Institute of Technology, Mesra, Ranchi","Physics (5 Years, Integrated Master of Science)",0,0,0,19,1,20,20
"Birla Institute of Technology, Mesra, Ranchi","Physics (5 Years, Integrated Master of Science)",0,0,0,16,2,18,18
"Birla Institute of Technology, Mesra, Ranchi","Production and Industrial Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Mesra, Ranchi","Production and Industrial Engineering (4 Years, Bachelor of Technology)",0,0,0,32,3,35,35
"Birla Institute of Technology, Mesra, Ranchi","Quantitative Economics & Data Science (5 Years, Integrated Master of Science)",0,0,0,19,1,20,20
"Birla Institute of Technology, Mesra, Ranchi","Quantitative Economics & Data Science (5 Years, Integrated Master of Science)",0,0,0,16,2,18,18
"Birla Institute of Technology, Patna Off-Campus","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Patna Off-Campus","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",0,0,0,28,3,31,31
"Birla Institute of Technology, Patna Off-Campus","Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Patna Off-Campus","Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,28,3,31,31
"Birla Institute of Technology, Patna Off-Campus","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Patna Off-Campus","Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,28,3,31,31
"Birla Institute of Technology, Patna Off-Campus","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Patna Off-Campus","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",0,0,0,28,3,31,31
"Birla Institute of Technology, Patna Off-Campus","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Patna Off-Campus","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",0,0,0,28,3,31,31
"Birla Institute of Technology, Patna Off-Campus","Mathematics and Computing (5 Years, Integrated Master of Science)",0,0,0,19,1,20,20
"Birla Institute of Technology, Patna Off-Campus","Mathematics and Computing (5 Years, Integrated Master of Science)",0,0,0,15,2,17,17
"Birla Institute of Technology, Patna Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,37,3,40,40
"Birla Institute of Technology, Patna Off-Campus","Mechanical Engineering (4 Years, Bachelor of Technology)",0,0,0,28,3,31,31
CU Jharkhand,"Civil Engineering (4 Years, Bachelor of Technology)",0,0,0,21,0,21,21
CU Jharkhand,"Computer Science and Engineering (4 Years, Bachelor of Technology)",0,0,0,21,0,21,21
CU Jharkhand,"Electrical Engineering (4 Years, Bachelor of Technology)",0,0,0,21,0,21,21
